feature,mean,median,std,p25,p75,p99,n_missing
total_claims,103.1813,31.0,272.457,10.0,87.0,1265.02,0
total_reimbursed,102873.0388,19805.0,268736.6796,4460.0,85565.0,1325226.5,0
avg_reimbursed_per_claim,1740.6794,356.0851,3484.4731,232.3946,1490.1543,14987.1429,0
unique_beneficiaries,67.9181,25.0,144.5975,8.0,65.0,711.0,0
inpatient_ratio,0.1446,0.0,0.2884,0.0,0.1282,1.0,0
avg_chronic_conditions,4.6329,4.6343,0.9375,4.1818,5.0805,7.0,0
reimbursement_outlier_score,0.3974,0.0,1.0,-0.0355,0.3255,4.1989,0
avg_admission_duration,5.6653,5.3333,2.7607,4.1412,6.5266,17.0,3318
PotentialFraud,0.0935,,0.2912,,,,0
